,puntos_turisticos,viajeros_y_pernoctaciones,residencia,periodo,total
194,01059 Vitoria-Gasteiz,Viajero,Residentes en Espa̱a,2005M12,
195,01059 Vitoria-Gasteiz,Viajero,Residentes en Espa̱a,2005M11,
196,01059 Vitoria-Gasteiz,Viajero,Residentes en Espa̱a,2005M10,
197,01059 Vitoria-Gasteiz,Viajero,Residentes en Espa̱a,2005M09,
198,01059 Vitoria-Gasteiz,Viajero,Residentes en Espa̱a,2005M08,
199,01059 Vitoria-Gasteiz,Viajero,Residentes en Espa̱a,2005M07,
200,01059 Vitoria-Gasteiz,Viajero,Residentes en Espa̱a,2005M06,
201,01059 Vitoria-Gasteiz,Viajero,Residentes en Espa̱a,2005M05,
202,01059 Vitoria-Gasteiz,Viajero,Residentes en Espa̱a,2005M04,
203,01059 Vitoria-Gasteiz,Viajero,Residentes en Espa̱a,2005M03,
204,01059 Vitoria-Gasteiz,Viajero,Residentes en Espa̱a,2005M02,
205,01059 Vitoria-Gasteiz,Viajero,Residentes en Espa̱a,2005M01,
400,01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2005M12,
401,01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2005M11,
402,01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2005M10,
403,01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2005M09,
404,01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2005M08,
405,01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2005M07,
406,01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2005M06,
407,01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2005M05,
408,01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2005M04,
409,01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2005M03,
410,01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2005M02,
411,01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2005M01,
606,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en Espa̱a,2005M12,
607,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en Espa̱a,2005M11,
608,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en Espa̱a,2005M10,
609,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en Espa̱a,2005M09,
610,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en Espa̱a,2005M08,
611,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en Espa̱a,2005M07,
612,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en Espa̱a,2005M06,
613,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en Espa̱a,2005M05,
614,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en Espa̱a,2005M04,
615,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en Espa̱a,2005M03,
616,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en Espa̱a,2005M02,
617,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en Espa̱a,2005M01,
812,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2005M12,
813,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2005M11,
814,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2005M10,
815,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2005M09,
816,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2005M08,
817,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2005M07,
818,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2005M06,
819,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2005M05,
820,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2005M04,
821,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2005M03,
822,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2005M02,
823,01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2005M01,
2484,03031 Benidorm,Viajero,Residentes en Espa̱a,2021M02,
2690,03031 Benidorm,Viajero,Residentes en el Extranjero,2021M02,
2896,03031 Benidorm,Pernoctaciones,Residentes en Espa̱a,2021M02,
3102,03031 Benidorm,Pernoctaciones,Residentes en el Extranjero,2021M02,
3296,03063 D̩nia,Viajero,Residentes en Espa̱a,2022M02,
3297,03063 D̩nia,Viajero,Residentes en Espa̱a,2022M01,
3298,03063 D̩nia,Viajero,Residentes en Espa̱a,2021M12,
3306,03063 D̩nia,Viajero,Residentes en Espa̱a,2021M04,
3307,03063 D̩nia,Viajero,Residentes en Espa̱a,2021M03,
3308,03063 D̩nia,Viajero,Residentes en Espa̱a,2021M02,
3309,03063 D̩nia,Viajero,Residentes en Espa̱a,2021M01,
3310,03063 D̩nia,Viajero,Residentes en Espa̱a,2020M12,
3334,03063 D̩nia,Viajero,Residentes en Espa̱a,2018M12,
3335,03063 D̩nia,Viajero,Residentes en Espa̱a,2018M11,
3344,03063 D̩nia,Viajero,Residentes en Espa̱a,2018M02,
3345,03063 D̩nia,Viajero,Residentes en Espa̱a,2018M01,
3346,03063 D̩nia,Viajero,Residentes en Espa̱a,2017M12,
3347,03063 D̩nia,Viajero,Residentes en Espa̱a,2017M11,
3348,03063 D̩nia,Viajero,Residentes en Espa̱a,2017M10,
3355,03063 D̩nia,Viajero,Residentes en Espa̱a,2017M03,
3356,03063 D̩nia,Viajero,Residentes en Espa̱a,2017M02,
3357,03063 D̩nia,Viajero,Residentes en Espa̱a,2017M01,
3358,03063 D̩nia,Viajero,Residentes en Espa̱a,2016M12,
3359,03063 D̩nia,Viajero,Residentes en Espa̱a,2016M11,
3360,03063 D̩nia,Viajero,Residentes en Espa̱a,2016M10,
3365,03063 D̩nia,Viajero,Residentes en Espa̱a,2016M05,
3366,03063 D̩nia,Viajero,Residentes en Espa̱a,2016M04,
3367,03063 D̩nia,Viajero,Residentes en Espa̱a,2016M03,
3368,03063 D̩nia,Viajero,Residentes en Espa̱a,2016M02,
3369,03063 D̩nia,Viajero,Residentes en Espa̱a,2016M01,
3370,03063 D̩nia,Viajero,Residentes en Espa̱a,2015M12,
3371,03063 D̩nia,Viajero,Residentes en Espa̱a,2015M11,
3380,03063 D̩nia,Viajero,Residentes en Espa̱a,2015M02,
3381,03063 D̩nia,Viajero,Residentes en Espa̱a,2015M01,
3382,03063 D̩nia,Viajero,Residentes en Espa̱a,2014M12,
3392,03063 D̩nia,Viajero,Residentes en Espa̱a,2014M02,
3393,03063 D̩nia,Viajero,Residentes en Espa̱a,2014M01,
3394,03063 D̩nia,Viajero,Residentes en Espa̱a,2013M12,
3395,03063 D̩nia,Viajero,Residentes en Espa̱a,2013M11,
3404,03063 D̩nia,Viajero,Residentes en Espa̱a,2013M02,
3405,03063 D̩nia,Viajero,Residentes en Espa̱a,2013M01,
3406,03063 D̩nia,Viajero,Residentes en Espa̱a,2012M12,
3407,03063 D̩nia,Viajero,Residentes en Espa̱a,2012M11,
3416,03063 D̩nia,Viajero,Residentes en Espa̱a,2012M02,
3417,03063 D̩nia,Viajero,Residentes en Espa̱a,2012M01,
3418,03063 D̩nia,Viajero,Residentes en Espa̱a,2011M12,
3419,03063 D̩nia,Viajero,Residentes en Espa̱a,2011M11,
3428,03063 D̩nia,Viajero,Residentes en Espa̱a,2011M02,
3429,03063 D̩nia,Viajero,Residentes en Espa̱a,2011M01,
3430,03063 D̩nia,Viajero,Residentes en Espa̱a,2010M12,
3431,03063 D̩nia,Viajero,Residentes en Espa̱a,2010M11,
3441,03063 D̩nia,Viajero,Residentes en Espa̱a,2010M01,
3452,03063 D̩nia,Viajero,Residentes en Espa̱a,2009M02,
3453,03063 D̩nia,Viajero,Residentes en Espa̱a,2009M01,
3477,03063 D̩nia,Viajero,Residentes en Espa̱a,2007M01,
3478,03063 D̩nia,Viajero,Residentes en Espa̱a,2006M12,
3479,03063 D̩nia,Viajero,Residentes en Espa̱a,2006M11,
3489,03063 D̩nia,Viajero,Residentes en Espa̱a,2006M01,
3491,03063 D̩nia,Viajero,Residentes en Espa̱a,2005M11,
3501,03063 D̩nia,Viajero,Residentes en Espa̱a,2005M01,
3502,03063 D̩nia,Viajero,Residentes en el Extranjero,2022M02,
3503,03063 D̩nia,Viajero,Residentes en el Extranjero,2022M01,
3504,03063 D̩nia,Viajero,Residentes en el Extranjero,2021M12,
3512,03063 D̩nia,Viajero,Residentes en el Extranjero,2021M04,
3513,03063 D̩nia,Viajero,Residentes en el Extranjero,2021M03,
3514,03063 D̩nia,Viajero,Residentes en el Extranjero,2021M02,
3515,03063 D̩nia,Viajero,Residentes en el Extranjero,2021M01,
3516,03063 D̩nia,Viajero,Residentes en el Extranjero,2020M12,
3540,03063 D̩nia,Viajero,Residentes en el Extranjero,2018M12,
3541,03063 D̩nia,Viajero,Residentes en el Extranjero,2018M11,
3550,03063 D̩nia,Viajero,Residentes en el Extranjero,2018M02,
3551,03063 D̩nia,Viajero,Residentes en el Extranjero,2018M01,
