,periodo,georeferenced_column,latitude,longitude,fecha
0,2017-07-01 00:00,"(-12.0621065, -77.0365256)",-12.0621065,-77.0365256,1
1,2017-07-01 00:00,"(-33.4377756, -70.6504502)",-33.4377756,-70.6504502,1
2,2017-07-01 00:00,"(-34.6075682, -58.4370894)",-34.6075682,-58.4370894,2
3,2017-07-01 00:00,"(21.1617854, -86.8510468)",21.1617854,-86.8510468,1
4,2017-07-01 00:00,"(25.7741728, -80.19362)",25.7741728,-80.19362,1
5,2017-07-01 00:00,"(28.0526298, -16.717)",28.0526298,-16.717,1
6,2017-07-01 00:00,"(3.4517923, -76.5324943)",3.4517923,-76.5324943,1
7,2017-07-01 00:00,"(36.1311725, -5.4473991)",36.1311725,-5.4473991,2
8,2017-07-01 00:00,"(36.7213028, -4.4216366)",36.7213028,-4.4216366,2
9,2017-07-01 00:00,"(37.3886303, -5.9953403)",37.3886303,-5.9953403,3
10,2017-07-01 00:00,"(38.4253489, -6.4193627)",38.4253489,-6.4193627,1
11,2017-07-01 00:00,"(40.3081807, -3.7302679)",40.3081807,-3.7302679,1
12,2017-07-01 00:00,"(40.9502159, -4.1241494)",40.9502159,-4.1241494,1
13,2017-07-01 00:00,"(41.1172364, 1.2546057)",41.1172364,1.2546057,1
14,2017-07-01 00:00,"(41.3828939, 2.1774322)",41.3828939,2.1774322,2
15,2017-07-01 00:00,"(43.2630018, -2.9350039)",43.2630018,-2.9350039,1
16,2017-07-01 00:00,"(43.3709703, -8.3959425)",43.3709703,-8.3959425,1
17,2017-07-01 00:00,"(51.47091115, -2.5790334025708415)",51.47091115,-2.579033402570841,1
18,2017-07-01 00:00,"(59.9133301, 10.7389701)",59.9133301,10.7389701,1
19,2017-08-01 00:00,"(-26.5643582, -64.882397)",-26.5643582,-64.882397,2
20,2017-08-01 00:00,"(-27.6431016, -63.5408542)",-27.6431016,-63.5408542,1
21,2017-08-01 00:00,"(-31.4173391, -64.183319)",-31.4173391,-64.183319,1
22,2017-08-01 00:00,"(-32.4107173, -63.2437955)",-32.4107173,-63.2437955,1
23,2017-08-01 00:00,"(-32.9595004, -60.6615415)",-32.9595004,-60.6615415,2
24,2017-08-01 00:00,"(-33.4377756, -70.6504502)",-33.4377756,-70.6504502,2
25,2017-08-01 00:00,"(-34.6075682, -58.4370894)",-34.6075682,-58.4370894,6
26,2017-08-01 00:00,"(-34.7504785, -58.5846362)",-34.7504785,-58.5846362,1
27,2017-08-01 00:00,"(-34.787093049999996, -68.43818677312292)",-34.78709305,-68.43818677312292,1
28,2017-08-01 00:00,"(-34.9058916, -56.1913095)",-34.9058916,-56.1913095,1
29,2017-08-01 00:00,"(23.6585116, -102.0077097)",23.6585116,-102.0077097,1
30,2017-08-01 00:00,"(27.9813108, -15.4242731)",27.9813108,-15.4242731,1
31,2017-08-01 00:00,"(28.1288694, -15.4349015)",28.1288694,-15.4349015,1
32,2017-08-01 00:00,"(36.4719772, -6.196392)",36.4719772,-6.196392,1
33,2017-08-01 00:00,"(36.5297438, -6.2928976)",36.5297438,-6.2928976,1
34,2017-08-01 00:00,"(36.7213028, -4.4216366)",36.7213028,-4.4216366,1
35,2017-08-01 00:00,"(37.1734995, -3.5995337)",37.1734995,-3.5995337,2
36,2017-08-01 00:00,"(37.2575874, -6.9484945)",37.2575874,-6.9484945,3
37,2017-08-01 00:00,"(37.3886303, -5.9953403)",37.3886303,-5.9953403,2
38,2017-08-01 00:00,"(37.9923795, -1.1305431)",37.9923795,-1.1305431,1
39,2017-08-01 00:00,"(38.3436365, -0.4881708)",38.3436365,-0.4881708,1
40,2017-08-01 00:00,"(38.6419862, -3.4666934)",38.6419862,-3.4666934,1
41,2017-08-01 00:00,"(38.8780585, -6.9702048)",38.8780585,-6.9702048,1
42,2017-08-01 00:00,"(38.9950921, -1.8559154)",38.9950921,-1.8559154,1
43,2017-08-01 00:00,"(39.4697065, -0.3763353)",39.4697065,-0.3763353,2
44,2017-08-01 00:00,"(39.4745175, -6.3716761)",39.4745175,-6.3716761,1
45,2017-08-01 00:00,"(39.8560679, -4.0239568)",39.8560679,-4.0239568,2
46,2017-08-01 00:00,"(4.6533326, -74.083652)",4.6533326,-74.083652,1
47,2017-08-01 00:00,"(40.0681156, -2.1348241)",40.0681156,-2.1348241,1
48,2017-08-01 00:00,"(40.4167047, -3.7035825)",40.4167047,-3.7035825,7
49,2017-08-01 00:00,"(40.9502159, -4.1241494)",40.9502159,-4.1241494,1
50,2017-08-01 00:00,"(40.9651572, -5.6640182)",40.9651572,-5.6640182,1
51,2017-08-01 00:00,"(41.0091562, -5.6489616)",41.0091562,-5.6489616,1
52,2017-08-01 00:00,"(41.1172364, 1.2546057)",41.1172364,1.2546057,1
53,2017-08-01 00:00,"(41.3828939, 2.1774322)",41.3828939,2.1774322,2
54,2017-08-01 00:00,"(41.5393249, 1.8694549)",41.5393249,1.8694549,1
55,2017-08-01 00:00,"(41.6521328, -4.728562)",41.6521328,-4.728562,1
56,2017-08-01 00:00,"(41.6521342, -0.8809428)",41.6521342,-0.8809428,2
57,2017-08-01 00:00,"(41.9793006, 2.8199439)",41.9793006,2.8199439,1
58,2017-08-01 00:00,"(42.1968459, -7.6114105)",42.1968459,-7.6114105,3
59,2017-08-01 00:00,"(42.2376602, -8.7247205)",42.2376602,-8.7247205,3
60,2017-08-01 00:00,"(42.4661196, -2.4396676)",42.4661196,-2.4396676,1
61,2017-08-01 00:00,"(42.61946, -7.863112)",42.61946,-7.863112,1
62,2017-08-01 00:00,"(42.8184538, -1.6442556)",42.8184538,-1.6442556,2
63,2017-08-01 00:00,"(43.2630018, -2.9350039)",43.2630018,-2.9350039,1
64,2017-08-01 00:00,"(43.3224219, -1.9838889)",43.3224219,-1.9838889,1
65,2017-08-01 00:00,"(43.3287527, -3.0318766)",43.3287527,-3.0318766,1
66,2017-08-01 00:00,"(43.5449422, -5.66275)",43.5449422,-5.66275,1
67,2017-08-01 00:00,"(45.7774551, 3.0819427)",45.7774551,3.0819427,1
68,2017-08-01 00:00,"(50.6724649, 5.0779916)",50.6724649,5.0779916,1
69,2017-08-01 00:00,"(51.5073219, -0.1276474)",51.5073219,-0.1276474,2
70,2017-08-01 00:00,"(51.897077, -8.4654674)",51.897077,-8.4654674,1
71,2017-09-01 00:00,"(-31.7330145, -60.5298511)",-31.7330145,-60.5298511,1
72,2017-09-01 00:00,"(-33.2484204, -58.0298671)",-33.2484204,-58.0298671,1
73,2017-09-01 00:00,"(-33.4377756, -70.6504502)",-33.4377756,-70.6504502,2
74,2017-09-01 00:00,"(-34.4226513, -58.5808967)",-34.4226513,-58.5808967,1
75,2017-09-01 00:00,"(-34.5661734, -59.1152598)",-34.5661734,-59.1152598,1
76,2017-09-01 00:00,"(-34.5933423, -58.6378405)",-34.5933423,-58.6378405,1
77,2017-09-01 00:00,"(-34.6075682, -58.4370894)",-34.6075682,-58.4370894,7
78,2017-09-01 00:00,"(-34.7437455, -58.3960811)",-34.7437455,-58.3960811,1
79,2017-09-01 00:00,"(-37.3282887, -59.1356957)",-37.3282887,-59.1356957,1
80,2017-09-01 00:00,"(-37.9977225, -57.5482703)",-37.9977225,-57.5482703,3
81,2017-09-01 00:00,"(-38.3695057, -69.832275)",-38.3695057,-69.832275,1
82,2017-09-01 00:00,"(-53.7856766, -67.7016369)",-53.7856766,-67.7016369,1
83,2017-09-01 00:00,"(23.6585116, -102.0077097)",23.6585116,-102.0077097,1
84,2017-09-01 00:00,"(25.9812025, -80.148379)",25.9812025,-80.148379,1
85,2017-09-01 00:00,"(27.9813108, -15.4242731)",27.9813108,-15.4242731,1
86,2017-09-01 00:00,"(28.1288694, -15.4349015)",28.1288694,-15.4349015,1
87,2017-09-01 00:00,"(32.7174202, -117.1627728)",32.7174202,-117.1627728,1
88,2017-09-01 00:00,"(36.1311725, -5.4473991)",36.1311725,-5.4473991,1
89,2017-09-01 00:00,"(36.5297438, -6.2928976)",36.5297438,-6.2928976,1
90,2017-09-01 00:00,"(36.7213028, -4.4216366)",36.7213028,-4.4216366,4
91,2017-09-01 00:00,"(36.8414197, -2.4628135)",36.8414197,-2.4628135,1
92,2017-09-01 00:00,"(37.1734995, -3.5995337)",37.1734995,-3.5995337,1
93,2017-09-01 00:00,"(39.3260685, -4.8379791)",39.3260685,-4.8379791,2
94,2017-09-01 00:00,"(39.4697065, -0.3763353)",39.4697065,-0.3763353,1
95,2017-09-01 00:00,"(39.5695818, 2.6500745)",39.5695818,2.6500745,1
96,2017-09-01 00:00,"(4.6533326, -74.083652)",4.6533326,-74.083652,1
97,2017-09-01 00:00,"(40.3492998, -3.8284295)",40.3492998,-3.8284295,1
98,2017-09-01 00:00,"(40.4167047, -3.7035825)",40.4167047,-3.7035825,5
99,2017-09-01 00:00,"(40.7127281, -74.0060152)",40.7127281,-74.0060152,1
100,2017-09-01 00:00,"(41.3828939, 2.1774322)",41.3828939,2.1774322,3
101,2017-09-01 00:00,"(41.6521328, -4.728562)",41.6521328,-4.728562,1
102,2017-09-01 00:00,"(41.6857693, -5.942315018340977)",41.6857693,-5.942315018340977,1
103,2017-09-01 00:00,"(42.2376602, -8.7247205)",42.2376602,-8.7247205,1
104,2017-09-01 00:00,"(42.2647235, -8.7796487)",42.2647235,-8.7796487,1
105,2017-09-01 00:00,"(43.3843347, -3.2162576)",43.3843347,-3.2162576,1
106,2017-09-01 00:00,"(45.756655699999996, 9.754219200862249)",45.7566557,9.754219200862249,1
107,2017-09-01 00:00,"(50.938361, 6.959974)",50.938361,6.959974,1
108,2017-09-01 00:00,"(51.5073219, -0.1276474)",51.5073219,-0.1276474,1
109,2017-09-01 00:00,"(52.23158695, 5.173493602392345)",52.23158695,5.173493602392345,1
110,2017-10-01 00:00,"(-25.1076701, -64.3494964)",-25.1076701,-64.3494964,1
111,2017-10-01 00:00,"(-26.5643582, -64.882397)",-26.5643582,-64.882397,1
112,2017-10-01 00:00,"(-26.8121581, -65.2981714)",-26.8121581,-65.2981714,1
113,2017-10-01 00:00,"(-31.3972539, -58.0173305)",-31.3972539,-58.0173305,1
114,2017-10-01 00:00,"(-32.9595004, -60.6615415)",-32.9595004,-60.6615415,1
115,2017-10-01 00:00,"(-34.3396765, -56.7138662)",-34.3396765,-56.7138662,1
116,2017-10-01 00:00,"(-34.6075682, -58.4370894)",-34.6075682,-58.4370894,4
117,2017-10-01 00:00,"(-34.9964963, -64.9672817)",-34.9964963,-64.9672817,2
118,2017-10-01 00:00,"(1.882076, -76.2728979)",1.882076,-76.2728979,1
119,2017-10-01 00:00,"(28.1288694, -15.4349015)",28.1288694,-15.4349015,1
120,2017-10-01 00:00,"(36.6816936, -6.1377402)",36.6816936,-6.1377402,1
121,2017-10-01 00:00,"(36.7213028, -4.4216366)",36.7213028,-4.4216366,1
122,2017-10-01 00:00,"(37.3886303, -5.9953403)",37.3886303,-5.9953403,1
123,2017-10-01 00:00,"(38.0126888, -3.3719849)",38.0126888,-3.3719849,1
124,2017-10-01 00:00,"(4.6533326, -74.083652)",4.6533326,-74.083652,2
125,2017-10-01 00:00,"(40.4167047, -3.7035825)",40.4167047,-3.7035825,4
126,2017-10-01 00:00,"(41.3828939, 2.1774322)",41.3828939,2.1774322,3
127,2017-10-01 00:00,"(43.2630018, -2.9350039)",43.2630018,-2.9350039,1
128,2017-10-01 00:00,"(43.3224219, -1.9838889)",43.3224219,-1.9838889,1
129,2017-10-01 00:00,"(45.4077172, 11.8734455)",45.4077172,11.8734455,1
130,2017-10-01 00:00,"(9.9325427, -84.0795782)",9.9325427,-84.0795782,1
131,2017-11-01 00:00,"(-12.0621065, -77.0365256)",-12.0621065,-77.0365256,1
132,2017-11-01 00:00,"(-23.6463741, -70.3980033)",-23.6463741,-70.3980033,1
133,2017-11-01 00:00,"(-31.4183774, -64.4936985)",-31.4183774,-64.4936985,1
134,2017-11-01 00:00,"(-31.533365500000002, -68.53848791247032)",-31.5333655,-68.53848791247032,2
135,2017-11-01 00:00,"(-32.9595004, -60.6615415)",-32.9595004,-60.6615415,1
136,2017-11-01 00:00,"(-33.4377756, -70.6504502)",-33.4377756,-70.6504502,1
137,2017-11-01 00:00,"(-34.6075682, -58.4370894)",-34.6075682,-58.4370894,8
138,2017-11-01 00:00,"(-34.6481661, -58.5622869)",-34.6481661,-58.5622869,1
139,2017-11-01 00:00,"(-34.7275895, -58.3953738)",-34.7275895,-58.3953738,1
140,2017-11-01 00:00,"(-34.9964963, -64.9672817)",-34.9964963,-64.9672817,1
141,2017-11-01 00:00,"(-37.4581505, -72.3412371)",-37.4581505,-72.3412371,1
142,2017-11-01 00:00,"(18.833333, -98.0)",18.833333,-98.0,1
143,2017-11-01 00:00,"(19.4326296, -99.1331785)",19.4326296,-99.1331785,2
144,2017-11-01 00:00,"(27.9580004, -15.6062305376665)",27.9580004,-15.6062305376665,1
145,2017-11-01 00:00,"(36.7213028, -4.4216366)",36.7213028,-4.4216366,1
146,2017-11-01 00:00,"(37.3886303, -5.9953403)",37.3886303,-5.9953403,1
147,2017-11-01 00:00,"(37.9557275, -3.492055612037218)",37.9557275,-3.492055612037218,1
148,2017-11-01 00:00,"(38.974390099999994, 1.4197463178515335)",38.9743901,1.4197463178515335,2
149,2017-11-01 00:00,"(39.4745175, -6.3716761)",39.4745175,-6.3716761,2
150,2017-11-01 00:00,"(4.6533326, -74.083652)",4.6533326,-74.083652,2
151,2017-11-01 00:00,"(40.4167047, -3.7035825)",40.4167047,-3.7035825,3
152,2017-11-01 00:00,"(41.3828939, 2.1774322)",41.3828939,2.1774322,1
153,2017-11-01 00:00,"(42.1968459, -7.6114105)",42.1968459,-7.6114105,1
154,2017-11-01 00:00,"(42.34484975, -3.681247658403683)",42.34484975,-3.681247658403683,2
155,2017-11-01 00:00,"(43.2630018, -2.9350039)",43.2630018,-2.9350039,1
156,2017-11-01 00:00,"(43.5449422, -5.66275)",43.5449422,-5.66275,3
157,2017-11-01 00:00,"(6.2443382, -75.573553)",6.2443382,-75.573553,1
158,2017-12-01 00:00,"(-12.0621065, -77.0365256)",-12.0621065,-77.0365256,2
159,2017-12-01 00:00,"(-33.4377756, -70.6504502)",-33.4377756,-70.6504502,1
160,2017-12-01 00:00,"(-34.6075682, -58.4370894)",-34.6075682,-58.4370894,4
161,2017-12-01 00:00,"(-34.9058916, -56.1913095)",-34.9058916,-56.1913095,1
162,2017-12-01 00:00,"(10.9799669, -74.8013085)",10.9799669,-74.8013085,1
163,2017-12-01 00:00,"(17.0, -96.5)",17.0,-96.5,1
164,2017-12-01 00:00,"(19.5377604, -99.2717913)",19.5377604,-99.2717913,1
165,2017-12-01 00:00,"(25.7741728, -80.19362)",25.7741728,-80.19362,1
166,2017-12-01 00:00,"(27.7527731, -15.5970832)",27.7527731,-15.5970832,1
167,2017-12-01 00:00,"(28.1288694, -15.4349015)",28.1288694,-15.4349015,1
168,2017-12-01 00:00,"(3.4517923, -76.5324943)",3.4517923,-76.5324943,1
169,2017-12-01 00:00,"(36.7213028, -4.4216366)",36.7213028,-4.4216366,2
170,2017-12-01 00:00,"(37.3886303, -5.9953403)",37.3886303,-5.9953403,3
171,2017-12-01 00:00,"(37.9923795, -1.1305431)",37.9923795,-1.1305431,1
172,2017-12-01 00:00,"(38.3436365, -0.4881708)",38.3436365,-0.4881708,1
173,2017-12-01 00:00,"(39.2025604, -0.3111645)",39.2025604,-0.3111645,1
174,2017-12-01 00:00,"(39.3260685, -4.8379791)",39.3260685,-4.8379791,1
175,2017-12-01 00:00,"(39.4697065, -0.3763353)",39.4697065,-0.3763353,2
176,2017-12-01 00:00,"(39.5695818, 2.6500745)",39.5695818,2.6500745,2
177,2017-12-01 00:00,"(4.6533326, -74.083652)",4.6533326,-74.083652,4
178,2017-12-01 00:00,"(40.3281942, -3.76527)",40.3281942,-3.76527,1
179,2017-12-01 00:00,"(40.4167047, -3.7035825)",40.4167047,-3.7035825,10
180,2017-12-01 00:00,"(40.6065826, -3.7065333)",40.6065826,-3.7065333,1
181,2017-12-01 00:00,"(40.9651572, -5.6640182)",40.9651572,-5.6640182,1
182,2017-12-01 00:00,"(41.0768193, 1.1440411)",41.0768193,1.1440411,1
183,2017-12-01 00:00,"(41.3463825, 1.6995213)",41.3463825,1.6995213,1
184,2017-12-01 00:00,"(41.3484877, 2.0429512)",41.3484877,2.0429512,1
185,2017-12-01 00:00,"(41.3828939, 2.1774322)",41.3828939,2.1774322,8
186,2017-12-01 00:00,"(41.5393484, 2.2130934)",41.5393484,2.2130934,1
187,2017-12-01 00:00,"(41.5629623, 2.0100492)",41.5629623,2.0100492,1
188,2017-12-01 00:00,"(41.6521342, -0.8809428)",41.6521342,-0.8809428,1
189,2017-12-01 00:00,"(42.063972, -1.6053391)",42.063972,-1.6053391,1
190,2017-12-01 00:00,"(42.2376602, -8.7247205)",42.2376602,-8.7247205,1
191,2017-12-01 00:00,"(42.8132667, -1.6118816)",42.8132667,-1.6118816,1
192,2017-12-01 00:00,"(42.8184538, -1.6442556)",42.8184538,-1.6442556,1
193,2017-12-01 00:00,"(42.8465088, -2.6724025)",42.8465088,-2.6724025,1
194,2017-12-01 00:00,"(43.0473269, -2.2032868)",43.0473269,-2.2032868,1
195,2017-12-01 00:00,"(43.1386097, -2.0723558)",43.1386097,-2.0723558,1
196,2017-12-01 00:00,"(43.2341364, -2.891012)",43.2341364,-2.891012,1
197,2017-12-01 00:00,"(43.2630018, -2.9350039)",43.2630018,-2.9350039,2
198,2017-12-01 00:00,"(43.3224219, -1.9838889)",43.3224219,-1.9838889,1
199,2017-12-01 00:00,"(43.3604218, -5.8450534)",43.3604218,-5.8450534,1
200,2017-12-01 00:00,"(43.3709703, -8.3959425)",43.3709703,-8.3959425,2
201,2017-12-01 00:00,"(53.3806626, -1.4702278)",53.3806626,-1.4702278,1
202,2017-12-01 00:00,"(53.4071991, -2.99168)",53.4071991,-2.99168,1
203,2017-12-01 00:00,"(6.2443382, -75.573553)",6.2443382,-75.573553,1
204,2017-12-01 00:00,"(9.8642435, -83.9204377)",9.8642435,-83.9204377,1
205,2017-12-01 00:00,"(9.9325427, -84.0795782)",9.9325427,-84.0795782,1
206,2018-01-01 00:00,"(-23.5506507, -46.6333824)",-23.5506507,-46.6333824,1
207,2018-01-01 00:00,"(-32.9595004, -60.6615415)",-32.9595004,-60.6615415,1
208,2018-01-01 00:00,"(-33.4377756, -70.6504502)",-33.4377756,-70.6504502,2
209,2018-01-01 00:00,"(-34.540349, -58.7157491)",-34.540349,-58.7157491,1
210,2018-01-01 00:00,"(-34.6075682, -58.4370894)",-34.6075682,-58.4370894,8
211,2018-01-01 00:00,"(-34.7916002, -58.3507175)",-34.7916002,-58.3507175,2
212,2018-01-01 00:00,"(-34.9206797, -57.9537638)",-34.9206797,-57.9537638,1
213,2018-01-01 00:00,"(-34.9964963, -64.9672817)",-34.9964963,-64.9672817,1
214,2018-01-01 00:00,"(-37.9977225, -57.5482703)",-37.9977225,-57.5482703,3
215,2018-01-01 00:00,"(-51.64607595, -69.26322885452636)",-51.64607595,-69.26322885452636,1
216,2018-01-01 00:00,"(19.4326296, -99.1331785)",19.4326296,-99.1331785,1
217,2018-01-01 00:00,"(28.2935785, -16.621447121144122)",28.2935785,-16.621447121144122,1
218,2018-01-01 00:00,"(36.5297438, -6.2928976)",36.5297438,-6.2928976,1
219,2018-01-01 00:00,"(36.6816936, -6.1377402)",36.6816936,-6.1377402,1
220,2018-01-01 00:00,"(36.7213028, -4.4216366)",36.7213028,-4.4216366,1
221,2018-01-01 00:00,"(36.8414197, -2.4628135)",36.8414197,-2.4628135,1
222,2018-01-01 00:00,"(37.3886303, -5.9953403)",37.3886303,-5.9953403,3
223,2018-01-01 00:00,"(37.8845813, -4.7760138)",37.8845813,-4.7760138,1
224,2018-01-01 00:00,"(37.9923795, -1.1305431)",37.9923795,-1.1305431,1
225,2018-01-01 00:00,"(38.3436365, -0.4881708)",38.3436365,-0.4881708,1
226,2018-01-01 00:00,"(38.974390099999994, 1.4197463178515335)",38.9743901,1.4197463178515335,2
227,2018-01-01 00:00,"(39.4697065, -0.3763353)",39.4697065,-0.3763353,1
228,2018-01-01 00:00,"(40.4167047, -3.7035825)",40.4167047,-3.7035825,4
229,2018-01-01 00:00,"(41.2199677, 1.5348566)",41.2199677,1.5348566,1
230,2018-01-01 00:00,"(41.3828939, 2.1774322)",41.3828939,2.1774322,5
231,2018-01-01 00:00,"(41.4223425, 1.9969904)",41.4223425,1.9969904,1
232,2018-01-01 00:00,"(41.5398348, 2.4448926)",41.5398348,2.4448926,2
233,2018-01-01 00:00,"(41.6147605, 0.6267842)",41.6147605,0.6267842,1
234,2018-01-01 00:00,"(41.6521342, -0.8809428)",41.6521342,-0.8809428,4
235,2018-01-01 00:00,"(41.6857693, -5.942315018340977)",41.6857693,-5.942315018340977,1
236,2018-01-01 00:00,"(42.2376602, -8.7247205)",42.2376602,-8.7247205,1
237,2018-01-01 00:00,"(43.3485734, -4.0544203)",43.3485734,-4.0544203,1
238,2018-01-01 00:00,"(43.3604218, -5.8450534)",43.3604218,-5.8450534,1
239,2018-01-01 00:00,"(43.5449422, -5.66275)",43.5449422,-5.66275,1
240,2018-01-01 00:00,"(53.550341, 10.000654)",53.550341,10.000654,1
241,2018-01-01 00:00,"(6.2443382, -75.573553)",6.2443382,-75.573553,1
242,2018-02-01 00:00,"(-27.915911299999998, -55.75543952199877)",-27.9159113,-55.75543952199877,1
243,2018-02-01 00:00,"(-31.4173391, -64.183319)",-31.4173391,-64.183319,1
244,2018-02-01 00:00,"(-32.9595004, -60.6615415)",-32.9595004,-60.6615415,1
245,2018-02-01 00:00,"(-33.4377756, -70.6504502)",-33.4377756,-70.6504502,1
246,2018-02-01 00:00,"(-34.6075682, -58.4370894)",-34.6075682,-58.4370894,19
247,2018-02-01 00:00,"(-34.9058916, -56.1913095)",-34.9058916,-56.1913095,2
248,2018-02-01 00:00,"(-37.14984035, -60.13195196353277)",-37.14984035,-60.13195196353277,1
249,2018-02-01 00:00,"(21.1218598, -101.6825081)",21.1218598,-101.6825081,1
250,2018-02-01 00:00,"(25.6802019, -100.315258)",25.6802019,-100.315258,1
251,2018-02-01 00:00,"(29.03970805, -13.636291608604138)",29.03970805,-13.636291608604138,1
252,2018-02-01 00:00,"(36.4612159, -5.9304903)",36.4612159,-5.9304903,1
253,2018-02-01 00:00,"(36.6816936, -6.1377402)",36.6816936,-6.1377402,1
254,2018-02-01 00:00,"(36.7213028, -4.4216366)",36.7213028,-4.4216366,2
255,2018-02-01 00:00,"(38.959734749999996, -3.8828744402485436)",38.95973475,-3.882874440248544,1
256,2018-02-01 00:00,"(39.4260949, 3.2647278)",39.4260949,3.2647278,1
